station_name,venue_name,venue_address,venue_distance,venue_latitude,venue_longitude
Raspail - Bac,Art Gallery l'Oeil et la Main,41 rue de Verneuil,332,N/A,N/A
Raymond Poincaré - Allée de la Marche,Assistance Publique Hopitaux de Paris,104 boulevard Raymond Poincaré,81,N/A,N/A
Raymond Poincaré - Allée de la Marche,Hôpital Raymond Poincaré,104 boulevard Raymond Poincar\u00e9,130,N/A,N/A
Raymond Poincaré - Allée de la Marche,MNH,104 rue Raymond Poincaré,215,N/A,N/A
Raymond Poincaré - Allée de la Marche,Bio-Rad Services France,3 boulevard Raymond Poincarré,235,N/A,N/A
Raymond Poincaré - Allée de la Marche,A.T.S.U 92,104 boulevard Raymond Poincaré,247,N/A,N/A
Place Tristan Bernard,Au Village des Ternes,35 rue Guersant,109,N/A,N/A
Place Tristan Bernard,Secret Square,27 avenue des Ternes,274,N/A,N/A
Place Tristan Bernard,Fnac,26/30 avenue des Ternes,246,N/A,N/A
Place Tristan Bernard,Timgad,21 rue Brunel,327,N/A,N/A
Place Tristan Bernard,Le Crabe Marteau,16 rue des Acacias,342,N/A,N/A
Cité Vaneau,Rodin Museum (Musée Rodin),79 rue de Varenne,303,N/A,N/A
Cité Vaneau,Coutume Café,"47 rue de Babylone, 7e",301,N/A,N/A
Cité Vaneau,Jardin du Musée Rodin,79 rue de Varenne,331,N/A,N/A
Cité Vaneau,Jardin Catherine Labouré,29 rue de Babylone,362,N/A,N/A
Cité Vaneau,Da Rocco,119 rue de Grenelle,400,N/A,N/A
Edgar Quinet - Gaité,Crêperie Josselin,"67 rue du Montparnasse, 14e",84,N/A,N/A
Edgar Quinet - Gaité,La Crêperie Bretonne,56 rue du Montparnasse,109,N/A,N/A
Edgar Quinet - Gaité,Les Grillades de Buenos Aires,54 rue du Montparnasse,121,N/A,N/A
Edgar Quinet - Gaité,Monoprix,31 rue du Départ,170,N/A,N/A
Edgar Quinet - Gaité,Montparnasse Tower Observation Deck (Observatoire Panoramique de la Tour Montparnasse),33 avenue du Maine,224,N/A,N/A
Romainville - Vaillant-Couturier,Le Mange Disc,50 rue de Romainville,217,N/A,N/A
Romainville - Vaillant-Couturier,Le Méliès,35 avenue de la Résistance,271,N/A,N/A
Romainville - Vaillant-Couturier,Little Kitchen,30 rue de l'Église,498,N/A,N/A
Romainville - Vaillant-Couturier,La Marbrerie,21 rue Alexis Lepere,630,N/A,N/A
Romainville - Vaillant-Couturier,Glaces Martinez,place J Jaurès,671,N/A,N/A
Surcouf - Université,Jaïs,3 rue Surcouf,87,N/A,N/A
Surcouf - Université,Restaurant David Toutain,"29 rue Surcouf, Paris",120,N/A,N/A
Surcouf - Université,Bellota Bellota,18 rue Jean Nicot,182,N/A,N/A
Surcouf - Université,L'Ami Jean,27 rue Malar,282,N/A,N/A
Surcouf - Université,Bar du Central,99 rue Saint-Dominique,282,N/A,N/A
Vaugirard - Pasteur,Des Gâteaux et du Pain,"63 boulevard Pasteur, Paris",103,N/A,N/A
Vaugirard - Pasteur,La Pâtisserie By Cyril Lignac,55 boulevard Pasteur,184,N/A,N/A
Vaugirard - Pasteur,L'Authentique,167 rue de Vaugirard,338,N/A,N/A
Vaugirard - Pasteur,Pierre Hermé,"185 rue de Vaugirard, 15e",351,N/A,N/A
Vaugirard - Pasteur,Musée Bourdelle,"18 rue Antoine Bourdelle, 15e",388,N/A,N/A
Jean Calvin - Tournefort,Dealer de Café,73 rue Mouffetard,119,N/A,N/A
Jean Calvin - Tournefort,Au P'tit Grec,68 rue Mouffetard,167,N/A,N/A
Jean Calvin - Tournefort,Mavrommatis,42 rue Daubenton,227,N/A,N/A
Jean Calvin - Tournefort,Cave la Bourgogne,"144 rue Mouffetard, 5e",277,N/A,N/A
Jean Calvin - Tournefort,Carl Marletti,51 rue Censier,284,N/A,N/A
Mozart - Jasmin,Le Bo Zinc,"59 avenue Mozart, 16e",209,N/A,N/A
