station_name,yelp_business_name,foursquare_business_name,yelp_rating,foursquare_rating,yelp_distance,foursquare_distance
Pernety - Raymond Losserand,Ayako-Teppanyaki,La Cantine du Troquet,4.0,N/A,180.08753995248665,111
Pernety - Raymond Losserand,Ayako-Teppanyaki,Papy aux Fourneaux,4.0,N/A,180.08753995248665,151
Pernety - Raymond Losserand,Ayako-Teppanyaki,Ayako,4.0,N/A,180.08753995248665,183
Pernety - Raymond Losserand,Ayako-Teppanyaki,Sodam,4.0,N/A,180.08753995248665,167
Pernety - Raymond Losserand,L'Envie,L'Entrepôt,4.6,N/A,19.828473594211875,78
Pernety - Raymond Losserand,L'Envie,La Cantine du Troquet,4.6,N/A,19.828473594211875,111
Pernety - Raymond Losserand,L'Envie,Papy aux Fourneaux,4.6,N/A,19.828473594211875,151
Pernety - Raymond Losserand,L'Envie,Ayako,4.6,N/A,19.828473594211875,183
Pernety - Raymond Losserand,L'Envie,Sodam,4.6,N/A,19.828473594211875,167
Pernety - Raymond Losserand,Chez Félicie,L'Entrepôt,3.9,N/A,551.2020625356281,78
Pernety - Raymond Losserand,Chez Félicie,La Cantine du Troquet,3.9,N/A,551.2020625356281,111
Pernety - Raymond Losserand,Chez Félicie,Papy aux Fourneaux,3.9,N/A,551.2020625356281,151
Pernety - Raymond Losserand,Chez Félicie,Ayako,3.9,N/A,551.2020625356281,183
Pernety - Raymond Losserand,Chez Félicie,Sodam,3.9,N/A,551.2020625356281,167
Champs de Manoeuvre - Cartoucherie,Bustronome,La Cartoucherie,4.5,N/A,12010.403082622446,107
Champs de Manoeuvre - Cartoucherie,Bustronome,Théâtre du Soleil,4.5,N/A,12010.403082622446,182
Champs de Manoeuvre - Cartoucherie,Bustronome,Parc Floral de Paris,4.5,N/A,12010.403082622446,307
Champs de Manoeuvre - Cartoucherie,Bustronome,Aire de jeux du Parc Floral,4.5,N/A,12010.403082622446,297
